apple_slice,manual_label,bitterpit,holes,rot,calix,stem,bruises,core,browning,normal,background,unannotated
31101_098,False,0,0,0,0,0,0,1,0,51412,893371,0
31101_099,False,0,0,0,0,0,0,0,0,55296,889488,0
31101_100,False,0,0,0,0,0,0,0,0,58694,886090,0
31101_101,False,0,0,0,0,0,160,0,0,62042,882582,0
31101_102,False,14,0,0,0,0,268,0,0,65311,879191,0
31101_103,False,35,0,0,0,0,234,0,0,68649,875866,0
31101_104,False,0,0,0,0,0,241,0,0,71794,872749,0
31101_105,False,0,0,0,0,0,230,0,0,74905,869649,0
31101_106,False,0,0,0,0,0,158,0,0,78489,866137,0
31101_107,False,0,0,0,0,0,48,0,0,82800,861936,0
31101_108,False,0,0,0,0,0,0,0,0,86912,857872,0
31101_109,False,0,0,0,0,0,55,0,0,91691,853038,0
31101_110,False,0,0,0,0,0,17,0,0,95581,849186,0
31101_111,False,0,0,0,0,0,3,0,0,99779,845002,0
31101_112,False,0,0,0,0,0,0,0,0,103814,840970,0
31101_113,False,0,0,0,0,0,0,0,0,108128,836656,0
31101_114,False,0,0,0,0,0,0,0,0,113020,831764,0
31101_115,False,0,0,0,0,0,0,0,0,116746,828038,0
31101_116,False,1,0,0,0,0,0,0,0,120070,824713,0
31101_117,False,0,0,0,0,0,2,0,0,123821,820961,0
31101_118,False,271,0,0,0,0,18,0,0,127829,816666,0
31101_119,False,294,0,0,0,0,100,0,0,131584,812806,0
31101_120,False,36,0,0,0,0,60,0,0,135534,809154,0
31101_121,False,124,0,0,0,0,5,0,0,138618,806037,0
31101_122,False,60,0,0,0,0,0,0,0,141554,803170,0
31101_123,False,31,0,0,0,0,277,0,0,144098,800378,0
31101_124,False,0,0,0,0,0,274,0,0,146831,797679,0
31101_125,False,0,0,0,0,0,207,0,0,149811,794766,0
31101_126,False,0,0,0,0,0,183,0,0,152620,791981,0
31101_127,False,0,0,0,0,0,295,0,0,155158,789331,0
31101_128,False,0,0,0,0,0,208,0,0,157928,786648,0
31101_129,False,0,0,0,0,0,335,0,0,160210,784239,0
31101_130,False,0,0,0,0,0,472,0,0,162673,781639,0
31101_131,False,0,0,0,0,0,258,0,0,165041,779485,0
31101_132,False,0,0,0,0,0,509,0,0,167377,776898,0
31101_133,False,0,0,0,0,0,537,0,0,169839,774408,0
31101_134,False,0,0,0,0,0,522,0,0,172107,772155,0
31101_135,False,0,0,0,0,0,583,0,0,174603,769598,0
31101_136,False,0,0,0,0,0,424,0,0,177378,766982,0
31101_137,False,0,0,0,0,0,389,0,0,179469,764926,0
31101_138,False,0,0,0,0,0,184,0,0,181966,762634,0
31101_139,False,0,0,0,0,0,78,0,0,184465,760241,0
31101_140,False,0,0,0,0,0,180,0,0,187002,757602,0
31101_141,False,0,0,0,0,0,226,0,0,189008,755550,0
31101_142,False,0,0,0,0,0,151,0,0,191121,753512,0
31101_143,False,0,0,0,0,0,255,0,0,193496,751033,0
31101_144,False,0,0,0,0,0,153,0,0,195928,748703,0
31101_145,False,0,0,0,95,0,75,0,0,198027,746587,0
31101_146,False,0,0,0,262,0,119,0,0,200235,744168,0
31101_147,False,0,0,0,131,0,0,0,0,202124,742529,0
31101_148,False,0,0,0,279,0,0,0,0,204581,739924,0
31101_149,False,0,0,0,274,0,0,0,0,206949,737561,0
31101_150,False,0,0,0,375,0,0,0,0,208629,735780,0
31101_151,False,0,0,0,307,0,0,0,0,210641,733836,0
31101_152,False,0,0,0,268,0,0,0,0,213104,731412,0
31101_153,False,0,0,0,318,0,0,0,0,215239,729227,0
31101_154,False,0,0,0,378,0,0,0,0,217340,727066,0
31101_155,False,0,0,0,388,0,174,0,0,219394,724828,0
31101_156,False,0,0,0,487,0,390,0,0,220623,723284,0
31101_157,False,0,0,0,528,0,572,0,0,222683,721001,0
31101_158,False,0,0,0,589,0,676,0,0,224649,718870,0
31101_159,False,0,0,0,655,0,793,0,0,226810,716526,0
31101_160,False,0,0,0,496,0,976,0,0,228371,714941,0
31101_161,False,0,0,0,625,0,1057,0,0,230438,712664,0
31101_162,False,0,0,3,538,0,1335,0,0,231950,710958,0
31101_163,False,0,0,0,738,0,1455,0,0,233651,708940,0
31101_164,False,88,0,14,648,0,1592,0,0,235118,707324,0
31101_165,False,379,0,11,378,0,1697,0,0,237179,705140,0
31101_166,False,230,0,0,630,0,1598,0,0,239724,702602,0
31101_167,False,147,0,1,723,0,1261,0,0,242568,700084,0
31101_168,False,349,0,67,721,0,1103,0,0,244300,698244,0
31101_169,False,425,0,43,780,0,934,0,0,246480,696122,0
31101_170,False,342,0,29,875,0,639,88,0,248425,694386,0
31101_171,False,269,0,26,805,0,753,446,0,249840,692645,0
31101_172,False,212,0,47,610,0,778,323,0,251599,691215,0
31101_173,False,413,0,23,447,0,830,259,0,253381,689431,0
31101_174,False,268,11,0,558,0,691,176,0,255189,687891,0
31101_175,False,214,0,14,545,0,650,85,0,257000,686276,0
31101_176,False,235,0,16,355,0,690,50,0,259030,684408,0
31101_177,False,225,0,0,304,0,777,7,0,260265,683206,0
31101_178,False,394,0,0,287,0,806,130,1,262070,681096,0
31101_179,False,233,0,81,4,0,598,724,0,264050,679094,0
31101_180,False,372,0,82,0,0,546,275,0,265800,677709,0
31101_181,False,653,0,12,0,0,527,6,0,267504,676082,0
31101_182,False,333,0,15,0,0,499,0,0,269111,674826,0
31101_183,False,80,16,1,0,0,466,4,0,271023,673194,0
31101_184,False,275,0,22,0,0,510,42,0,272462,671473,0
31101_185,False,241,0,0,0,0,569,42,0,274065,669867,0
31101_186,False,354,11,0,0,0,526,0,0,275253,668640,0
31101_187,False,321,0,0,0,0,839,0,0,276494,667130,0
31101_188,False,374,1,0,0,0,757,0,0,277905,665747,0
31101_189,False,523,2,0,0,0,666,0,0,279764,663829,0
31101_190,False,447,0,0,0,0,645,0,0,281626,662066,0
